hotel_url,hotel_intr,hotel_price,hotel_comment,hotel_score,hotel_name,hotel_rank
http://hotel.qunar.com/city/tianjin_city/dt-10177/#from=BSEO-N,客房整洁，宽敞明亮，环境卫生，性价比较高。,¥116起,53条点评,4.1/5分,Q+天津红悦阳快捷酒店,天津好评第901
http://hotel.qunar.com/city/tianjin_city/dt-7127/#from=BSEO-N,该店客房整洁，宽敞明亮，环境卫生，配套设施齐全，服务周到，方便入住。,¥118起,70条点评,4.5/5分,Q+天津凯豪商务酒店,天津好评第252
http://hotel.qunar.com/city/tianjin_city/dt-9779/#from=BSEO-N,酒店位于中国魅力名镇杨柳青最繁华的中心地段，近邻石家大院，杨柳青年画馆等著名景观，距商贸步行街仅1.5公里左右，西距杨柳青火车站、长途...,¥128起,180条点评,4.5/5分,Q+天津津城之家商务酒店,天津好评第374
http://hotel.qunar.com/city/tianjin_city/dt-2977/#from=BSEO-N,位于天津著名人文风景旅游区天津五大道之一的常德道121号，至金街只有约1.5公里乘车10左右分钟到达，距天津电视塔、水上公园只需约1公...,¥139起,357条点评,4.3/5分,Q+天津茂根堂精品酒店,天津好评第712
http://hotel.qunar.com/city/honghe/dt-4941/#from=BSEO-N,建水可乐是一家倾力于打造给顾客提供舒适安宁的居住环境及便捷的出行路线。酒店房间提供：液晶迷你电脑、宽带上网、无线WIFI覆盖、液晶大屏...,¥75起,105条点评,4.1/5分,Q+建水县可乐快捷酒店,红河好评第241
http://hotel.qunar.com/city/honghe/dt-6008/#from=BSEO-N,酒店干净、舒适、便捷为理念，优质的星级床品、高速光纤WIFI、超大独立停车场等设施，无押金免查房、可延长至16点退房等服务.,¥78起,79条点评,4.5/5分,Q+建水优家城市酒店,红河好评第57
http://hotel.qunar.com/city/honghe/dt-2165/#from=BSEO-N,云南建水华清客栈位于建水古城内清式古香古色的步行街（翰林街）上，周围环境很安静、交通便利。距客栈200米左右就是中国经典民居朱家花园，...,¥97起,66条点评,4.4/5分,Q+建水华清客栈,红河好评第145
http://hotel.qunar.com/city/honghe/dt-5279/#from=BSEO-N,Home家是开远首家拥有不同风格的精品型酒店，酒店位于开远市灵泉东路开远公路管理总段，毗邻小松林广场公园、市公安局、市人民法院、电信大...,¥99起,439条点评,4.5/5分,Q+开远Home家精品酒店,红河好评第101
http://hotel.qunar.com/city/honghe/dt-5628/#from=BSEO-N,入住客栈即送原舍咖啡一杯（客栈楼下），连续入住两天或两间送马术体验一次（详询客栈）。阳光别院客栈位置非常得天独厚，向东200米是朱家花...,¥124起,210条点评,4.3/5分,Q+建水县阳光别院客栈,红河好评第192
http://hotel.qunar.com/city/honghe/dt-5616/#from=BSEO-N,酒店位于建水县新城区，距离古城1.5公里，交通便利，有单独的停车场。酒店秉承建水古城的建筑风格，庭院式设计，让您远离城市的喧嚣，置身于...,¥148起,261条点评,4.5/5分,Q+建水澜宁阁酒店,红河好评第57
http://hotel.qunar.com/city/beijing_city/dt-20755/#from=BSEO-N,北京七月天商务酒店座落于昌平区东小口镇北方明珠东门正对面，邻近塞纳维拉，周边有天通苑、龙德广场购物中心，交通便利，环境优美。酒店建筑面...,¥172起,302条点评,4.1/5分,Q+北京七月天商务酒店立水桥地铁站店,北京好评第2628
http://hotel.qunar.com/city/kaifeng/dt-3660/#from=BSEO-N,坐落于开封市龙亭区七盛角，四周环绕开封著名5A级景区清明上河园、4A景区中国翰园碑林、4A景区开封龙亭景区、万岁山大宋武侠城，以及周边...,¥87起,184条点评,4.5/5分,Q+开封遇见湖畔主题客栈,开封好评第55
http://hotel.qunar.com/city/yibin/dt-3039/#from=BSEO-N,月亮半岛主题酒店是由四川省月亮半岛酒店管理有限公司投资打造的一家时尚主题酒店。酒店坐落于长宁县温州商城，位于竹海大道一段888号，紧邻...,¥79起,176条点评,4.6/5分,Q+长宁月亮半岛主题酒店,宜宾好评第19
http://hotel.qunar.com/city/chengdu/dt-20182/#from=BSEO-N,每个房间独立高速WIFI，高清投影仪，24小时超大热水，星级酒店标准布草。距离衣冠庙地铁站步行仅需5分钟，地铁直达春熙路，熊猫基地。客...,¥39起,488条点评,4.9/5分,Q+成都好久不见青年旅舍锦里武侯祠店,成都好评第181
http://hotel.qunar.com/city/beijing_city/dt-29682/#from=BSEO-N,北京雷龙宾馆位于市中心积水潭桥西南角，二环路边，乘地铁2号线积水潭站下车，D出口出步行500米，新华百货后面即到。酒店环境幽雅安静，内...,¥268起,144条点评,4.5/5分,Q+北京雷龙商务主题酒店,北京好评第970
http://hotel.qunar.com/city/beijing_city/dt-35563/#from=BSEO-N,皓阳晚安酒店坐落于历史悠久的老北京皇城根下前门西大街正阳市场4号楼（天安门南400米处），紧邻地铁2号线前门站。看升国旗、参观故宫等只...,¥346起,298条点评,4.3/5分,Q+北京皓阳晚安酒店天安门店,北京好评第1937
http://hotel.qunar.com/city/beijing_city/dt-35448/#from=BSEO-N,北京早安西云阁酒店，即生活在别处。用当下去体味彼岸的情趣。北京早安西云阁酒店从来不只是酒店，更多的是一种共同价值观的分享。当我们每天奔...,¥564起,169条点评,4.5/5分,Q+早安酒店北京西云阁店,北京好评第611
http://hotel.qunar.com/city/kaifeng/dt-3452/#from=BSEO-N,游开封景点，住龙图客栈。龙图客栈是一家以明清为主题的住宿酒店，典雅的装修风格，精心打造豫东地区首家明清为主题的商务酒店。客栈位于龙亭区...,¥104起,275条点评,4.5/5分,Q+开封古韵龙图客栈龙亭景区店,开封好评第55
http://hotel.qunar.com/city/kaifeng/dt-3356/#from=BSEO-N,鱼跃龙门客栈，是一家以住宿为主的主题酒店，室内均由一流的设计机构以复古式风格精心设计、布局！ 酒店地处于开封市宋都御街中心地段，毗邻龙...,¥133起,568条点评,4.4/5分,Q+开封鱼跃龙门客栈,开封好评第144
http://hotel.qunar.com/city/kaifeng/dt-3550/#from=BSEO-N,开封东州驿站位于开封市大梁门附近，步行20分钟左右可达龙亭公园 、清明上河园、翰园碑林等著名景点。门前交通便利，各路公交直达开封各个角...,¥214起,102条点评,4.8/5分,Q+开封东州驿站,开封好评第19
