hotel_url,hotel_intr,hotel_price,hotel_comment,hotel_score,hotel_name,hotel_rank
http://hotel.qunar.com/city/linzhi/dt-2490/#from=BSEO-N,客栈地处西藏林芝市首府八一镇新区，比日神山脚下，尼洋河水静静的流过，比日山上经幡随风涌动，随处可见虔诚的转经信徒。凭窗远眺壮阔的雪山，...,¥36起,119条点评,4.8/5分,Q居林芝西渡驿站别墅客栈,林芝好评第24
http://hotel.qunar.com/city/linzhi/dt-2551/#from=BSEO-N,波密解忧别院位于扎木镇桑登村中心位置，交通便利且闹中取静。客栈由两栋现代藏式民居改建而来，内部装修豪华，极具民族特色。客栈一共15间客...,,48条点评,4.9/5分,Q居波密解忧别院客栈,林芝好评第10
http://hotel.qunar.com/city/guilin/dt-8596/#from=BSEO-N,阳朔吉百合客栈位于中心城区西侧、荆凤路东，紧邻西街、十里画廊，交通方便。该客栈充满情调与温馨的氛围，简约中充满地方特色的情调。客栈交通...,¥16起,168条点评,4.5/5分,Q居阳朔吉百合客栈,桂林好评第501
http://hotel.qunar.com/city/zhoushan/dt-6259/#from=BSEO-N,舟山我家小筑客栈坐落于美丽的舟山朱家尖镇上，是几个兴趣相投的年轻人共同创业的结晶。 客栈交通便利，位于朱家尖泗苏村，客栈旁边便是泗苏村...,¥43起,125条点评,4.8/5分,Q居舟山朱家尖我家小筑客栈,舟山好评第321
http://hotel.qunar.com/city/guilin/dt-9142/#from=BSEO-N,泊岸青旅步行到象鼻山和日月双塔两江四湖只需要1分钟时间，窗外俯瞰漓江，楼下两江四湖和滨江路，身后是日月双塔，距离桂林中心广场美食街、正...,¥16起,162条点评,4.6/5分,Q居桂林泊岸青年旅舍,桂林好评第301
http://hotel.qunar.com/city/guilin/dt-9714/#from=BSEO-N,客栈在山水甲天下的桂林，位于漓江边。离民航大厦路程仅15分钟，离桂林站（南站）公交车3个站、汽车站4个站、离桂林北站车程40分钟，是您...,¥16起,211条点评,4.5/5分,Q居登巴国际连锁客栈桂林店,桂林好评第501
http://hotel.qunar.com/city/guilin/dt-8912/#from=BSEO-N,阳朔橙子客栈西街店位于阳朔碧莲洞景区，客房整洁，宽敞明亮，每个房间都有山景大明窗，部分房间还有山景阳台。环境卫生，性价比较高。,¥17起,320条点评,4.5/5分,Q居阳朔橙子客栈西街店,桂林好评第686
http://hotel.qunar.com/city/guilin/dt-9287/#from=BSEO-N,阳朔背包者青年旅舍，位于风景秀丽的阳朔县城石马巷，离汽车站南站步行5分钟，去十里画廊和遇龙河、兴坪古镇、高铁站、阳朔西街、阳朔漓江方便...,¥18起,177条点评,4.8/5分,Q居阳朔背包者青年旅舍,桂林好评第140
http://hotel.qunar.com/city/guilin/dt-9297/#from=BSEO-N,旅社被主人定格在充满历史格调且风景怡人的美丽桂林，坐落于交通便捷的高铁北站边上，这里远离市井喧嚣。白天，大家趴在旅社的窗台上看北站铁轨...,¥19起,68条点评,4.6/5分,Q居桂林况且屋青年旅舍,桂林好评第301
http://hotel.qunar.com/city/guilin/dt-9156/#from=BSEO-N,旅舍依山傍水，采光好，风景好，闹中取静，雅致舒适，高楼层可以看到层层叠叠山景，亦可享受恬静，听鸟叫虫鸣，整体环境干净整洁，性价比高，位...,¥20起,158条点评,4.6/5分,Q居阳朔海知己国际青年旅舍,桂林好评第301
http://hotel.qunar.com/city/guilin/dt-3564/#from=BSEO-N,阳朔花满楼国际青年旅舍虽闹中取静，却交通便利。步行闻名世界的地球村西街只需10分钟，是中外驴友的聚集地。大厅设计简单温馨，房间整洁干净...,¥21起,538条点评,4.5/5分,Q居阳朔花满楼国际青年旅舍,桂林好评第686
