hotel_url,hotel_intr,hotel_price,hotel_comment,hotel_score,hotel_name,hotel_rank
http://hotel.qunar.com/city/linzhi/dt-2490/#from=BSEO-N,客栈地处西藏林芝市首府八一镇新区，比日神山脚下，尼洋河水静静的流过，比日山上经幡随风涌动，随处可见虔诚的转经信徒。凭窗远眺壮阔的雪山，...,¥36起,119条点评,4.8/5分,Q居林芝西渡驿站别墅客栈,林芝好评第24
http://hotel.qunar.com/city/linzhi/dt-2551/#from=BSEO-N,波密解忧别院位于扎木镇桑登村中心位置，交通便利且闹中取静。客栈由两栋现代藏式民居改建而来，内部装修豪华，极具民族特色。客栈一共15间客...,,48条点评,4.9/5分,Q居波密解忧别院客栈,林芝好评第10
http://hotel.qunar.com/city/beihai/dt-5166/#from=BSEO-N,性价比高，住宿环境、通风采光较好。,¥11起,42条点评,4.8/5分,Q居北海考拉海边旅舍,北海好评第188
http://hotel.qunar.com/city/beihai/dt-5092/#from=BSEO-N,毗邻高铁站，雄踞商业及休闲中心地带，俯瞰北海，地理位置得天独厚，交通便利，去各大景点均有公交直达。奔放且浪漫布局，近似自然优美的线条，...,¥13起,117条点评,4.9/5分,Q居北海海有鱼国际青年旅舍,北海好评第79
http://hotel.qunar.com/city/beihai/dt-3260/#from=BSEO-N,白糖青年旅舍位于与银滩只有一条马路之隔的大型欧式独栋别墅区内，其四周环绕着巨大的花园，仿佛一座童话般的城堡。院内木棉花三角梅炮仗花争相...,¥20起,434条点评,4.4/5分,Q居北海白糖别墅青年旅舍,北海好评第739
http://hotel.qunar.com/city/beihai/dt-5101/#from=BSEO-N,涠洲岛东南角五彩滩旁，距离海滩仅仅330步，以越野车为主题的装修风格。客栈设有床位房，海景大床房，海景三床家庭房，桌游娱乐大厅，休闲庭...,¥30起,95条点评,4.9/5分,Q居北海涠洲岛越野e栈住宿,北海好评第79
http://hotel.qunar.com/city/beihai/dt-5234/#from=BSEO-N,旅舍位于万达广场旁，距公交站步行五分钟，公交站名是广东路浙江路口。旅舍离银滩不远，骑行十分钟即可到达。旅舍位于碧海湾小区内的别墅区，环...,¥30起,30条点评,4.9/5分,Q居北海花儿与少年青年旅社,北海好评第79
http://hotel.qunar.com/city/beihai/dt-5315/#from=BSEO-N,位于火车站商圈，有直达公交可前往火车站、侨港、银滩、国际客运码头等旅游景点，旅舍四周为居民区，夜间安静不嘈杂。临近新大润发以及两个中型...,¥30起,87条点评,4.9/5分,Q居北海迷路青年旅舍,北海好评第79
http://hotel.qunar.com/city/beihai/dt-2837/#from=BSEO-N,北海涠洲岛怡海楼主题客栈坐落于美丽的火山岛景区西海岸.在酒店就可以看日出，酒店内设22间客房，房间均配有彩电，电吹风、电热水壶、冷暖气...,¥31起,185条点评,4.6/5分,Q居北海涠洲岛怡海楼主题客栈,北海好评第355
http://hotel.qunar.com/city/beihai/dt-3582/#from=BSEO-N,客栈位于北海涠洲岛湾仔村看日出绝佳的五彩滩景区旁，客栈提供多种房型，多数房间内可看到海景。从客栈步行至海滩仅需3分钟左右，是涠洲岛观看...,¥40起,545条点评,4.5/5分,Q居登巴国际连锁客栈涠洲岛店,北海好评第482
http://hotel.qunar.com/city/zhangjiajie/dt-5170/#from=BSEO-N,旅舍是住宿，休闲，娱乐的聚集地，院内有停车位，提供自行车租赁，有多人床位房、单人间、军旅帐篷房，吊床房等各类房型。自助洗衣机、自助厨房...,¥18起,86条点评,4.9/5分,Q居张家界白浪青年旅舍,张家界好评第83
